time,open,high,low,close
2018-08-29T09:00:00Z,111.208,111.23,111.167,111.191
2018-08-29T10:00:00Z,111.191,111.248,111.181,111.198
2018-08-29T11:00:00Z,111.198,111.304,111.185,111.299
2018-08-29T12:00:00Z,111.299,111.388,111.236,111.361
2018-08-29T13:00:00Z,111.361,111.5,111.328,111.443
2018-08-29T14:00:00Z,111.443,111.711,111.426,111.666
2018-08-29T15:00:00Z,111.666,111.828,111.658,111.794
2018-08-29T16:00:00Z,111.794,111.806,111.73,111.744
2018-08-29T17:00:00Z,111.744,111.768,111.621,111.646
2018-08-29T18:00:00Z,111.646,111.701,111.637,111.688
2018-08-29T19:00:00Z,111.688,111.719,111.67,111.698
2018-08-29T20:00:00Z,111.698,111.718,111.661,111.677
2018-08-29T21:00:00Z,111.677,111.744,111.609,111.73
2018-08-29T22:00:00Z,111.73,111.756,111.693,111.724
2018-08-29T23:00:00Z,111.724,111.738,111.66,111.682
2018-08-30T00:00:00Z,111.682,111.755,111.669,111.705
2018-08-30T01:00:00Z,111.705,111.738,111.516,111.596
2018-08-30T02:00:00Z,111.596,111.658,111.582,111.627
2018-08-30T03:00:00Z,111.627,111.666,111.601,111.612
2018-08-30T04:00:00Z,111.612,111.667,111.612,111.657
2018-08-30T05:00:00Z,111.657,111.676,111.628,111.651
2018-08-30T06:00:00Z,111.651,111.716,111.644,111.686
2018-08-30T07:00:00Z,111.686,111.688,111.582,111.617
2018-08-30T08:00:00Z,111.617,111.693,111.539,111.572
2018-08-30T09:00:00Z,111.572,111.602,111.534,111.548
2018-08-30T10:00:00Z,111.548,111.632,111.533,111.571
2018-08-30T11:00:00Z,111.571,111.585,111.411,111.436
2018-08-30T12:00:00Z,111.436,111.475,111.343,111.361
2018-08-30T13:00:00Z,111.361,111.439,111.337,111.35
2018-08-30T14:00:00Z,111.35,111.404,111.29,111.361
2018-08-30T15:00:00Z,111.361,111.388,111.132,111.168
2018-08-30T16:00:00Z,111.168,111.243,111.138,111.234
